UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
출고지연사유코드 01 공급지연/출고지연 02 고객협의후,shortgRsnCd,업체 주문/배송,1,단일,✅ 핵심 UDS,shortgRsnCd: 출고지연사유코드 01 공급지연/출고지연 02 고객협의후배송(배송비결제) 03 제작상품 05 해외배송비 재결제 대기 21 당일출고/상품분리 Shpping Delay Reason Code 01 Supply Delay / Warehouse Out Delay 02 Shpping After Customer Consultation(Shpping Payment) 03 Custom Made Goods 05 Waiting For Repayment Of Overseas Shpping Fee 21 Shpping On The Day / Product Separation
취소수량 Canceled Quantity,cnclItemQty,업체 주문/배송,1,단일,✅ 핵심 UDS,cnclItemQty: 취소수량 Canceled Quantity | cnclItemQty: 취소수량 Canceled Quantity
취소요청상태코드 10:취소요청 50:취소철회 60:취소,ordProcDemndStatCd,업체 주문/배송,1,단일,✅ 핵심 UDS,ordProcDemndStatCd: 취소요청상태코드 10:취소요청 50:취소철회 60:취소승인 70:취소거부 Status of cancel request
택배사 업체 ID,delicoVenId,업체 주문/배송,1,단일,✅ 핵심 UDS,"delicoVenId: 택배사ID Shipping Company | delicoVenId: 샘플코드에서 확인된 필드 | delicoVenId: 택배사 * shppTypeCd:20, 40 또는 shppTypeDtlCd:91 일때만 필수 Shipping Company * Key Value for getting notice detail"
택배사명 Shipping Company Name,delicoVenNm,업체 주문/배송,1,단일,✅ 핵심 UDS,delicoVenNm: 택배사명 Shipping Company Name | delicoVenNm: 택배사명 Shipping Company Name
특정영업점번호 Specific Sales Branch ,speSalestrNo,업체 주문/배송,1,단일,✅ 핵심 UDS,speSalestrNo: 특정영업점번호 Specific Sales Branch Number
판매가,sellprc,업체 주문/배송,1,단일,✅ 핵심 UDS,sellprc: 판매가 Sales Price | sellprc: 샘플코드에서 확인된 필드 | sellprc: 판매가 Sales Price
판매불가사유내용 Sales Not Permitted Reason Cont,shortgProcDtlc,업체 주문/배송,1,단일,✅ 핵심 UDS,shortgProcDtlc: 판매불가사유내용 Sales Not Permitted Reason Content
판매불가신청상태 11 결품등록 12 결품CS처리중 13,shortgProgStatCd,업체 주문/배송,1,단일,✅ 핵심 UDS,shortgProgStatCd: 판매불가신청상태 11 결품등록 12 결품CS처리중 13 결품확정 21 상품정보오류등록 22 상품정보오류CS처리중 23 상품정보오류확정 41 입고지연등록 43 입고지연완료 51 배송지연등록 Sales Not Permitted Status 11 Shortage Of Stock Registered 12 Shortage Of Stock CS Processing 13 Shortage Of Stock Confirmed 21 Item Information Error Registered 22 Item Information Error CS Processing 23 Item Information Error Confirmed 41 Stock Delay Registered 43 Stock Delay Completed 51 Shipping Delay Registered | shortgProgStatCd: 판매불가신청상태 11 결품등록 12 결품CS처리중 13 결품확정 21 상품정보오류등록 22 상품정보오류CS처리중 23 상품정보오류확정 41 입고지연등록 43 입고지연완료 51 배송지연등록 Sales Not Permitted Status 11 Shortage Of Stock Registered 12 Shortage Of Stock CS Processing 13 Shortage Of Stock Confirmed 21 Item Information Error Registered 22 Item Information Error CS Processing 23 Item Information Error Confirmed 41 Stock Delay Registered 43 Stock Delay Completed 51 Shipping Delay Registered
하위공급업체명 Low Rank Supply Vendor Name,shppLrnkVenNm,업체 주문/배송,1,단일,✅ 핵심 UDS,shppLrnkVenNm: 하위공급업체명 Low Rank Supply Vendor Name | shppLrnkVenNm: 하위공급업체명 Low Rank Supply Vendor Name
하위공급업체아이디 Low Rank Supply Vend,shppLrnkVenId,업체 주문/배송,1,단일,✅ 핵심 UDS,shppLrnkVenId: 하위공급업체아이디 Low Rank Supply Vendor Identification | shppLrnkVenId: 하위공급업체아이디 Low Rank Supply Vendor Identification
할인금액,dcAmt,업체 주문/배송,1,단일,✅ 핵심 UDS,dcAmt: 할인가 * 해당 항목은 배송을 위한 참고 정보입니다. 정산을 위해서는 정산 API를 활용해주세요. Discount Amount * This is reference information for Shipping. Please use Settlement API for an accurate settlement. | dcAmt: 샘플코드에서 확인된 필드
해외배송비처리구분 International Shipping Cost Pr,frgShppcstProcDivCdNm,업체 주문/배송,1,단일,✅ 핵심 UDS,frgShppcstProcDivCdNm: 해외배송비처리구분 International Shipping Cost Process Division
