UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
승인결과코드 (commCd:I307) 10 : 승인요청,aprvRstCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,aprvRstCd: 승인결과코드 (commCd:I307) 10 : 승인요청 20 : 수정승인요청 30 : 확인중 40 : 승인 50 : 거부 88 : 실패 99 : 비대상 Approval Result Code (commCd:I307) 10 : Approval Request 20 : Modification Approval Request 30 : Checking 40 : Approval 50 : Rejection 88 : failure 99 : Non-target | aprvRstCd: 승인결과코드 (commCd:I307) 10 : 승인요청 20 : 수정승인요청 30 : 확인중 40 : 승인 50 : 거부 88 : 실패 99 : 비대상 Approval Result Code (commCd:I307) 10 : Approval Request 20 : Modification Approval Request 30 : Checking 40 : Approval 50 : Rejection 88 : failure 99 : Non-target | aprvRstCd: 승인결과코드 (commCd:I307) 10 : 승인요청 20 : 수정승인요청 30 : 확인중 40 : 승인 50 : 거부 88 : 실패 99 : 비대상 Approval Result Code (commCd:I307) 10 : Approval Request 20 : Modification Approval Request 30 : Checking 40 : Approval 50 : Rejection 88 : failure 99 : Non-target
승인구분코드 (commCd:I309) 10 : 일반 2,aprvDivCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,aprvDivCd: 승인구분코드 (commCd:I309) 10 : 일반 20 : 강제승인 Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval | aprvDivCd: 승인구분코드 (commCd:I309) 10 : 일반 20 : 강제승인 Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval | aprvDivCd: 승인구분코드 (commCd:I309) 10 : 일반 20 : 강제승인 Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval
업체 ID,venId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,venId: Vendor Identification | venId: Low Rank Vendor Identification
업체명,venNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,venNm: Vendor Name | venNm: Vendor Name
연동결과코드 (commCd:I308) 10 : 신청요청,lnkgRstCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,lnkgRstCd: 연동결과코드 (commCd:I308) 10 : 신청요청 20 : 수정요청 30 : 취소요청 40 : 연동완료 Linkage Result Code (commCd:I308) 10 : Application Request 20 : Modification Request 30 : Cancellation Requestn 40 : Linkage Completion | lnkgRstCd: 연동결과코드 (commCd:I308) 10 : 신청요청 20 : 수정요청 30 : 취소요청 40 : 연동완료 Linkage Result Code (commCd:I308) 10 : Application Request 20 : Modification Request 30 : Cancellation Requestn 40 : Linkage Completion | lnkgRstCd: 연동결과코드 (commCd:I308) 10 : 신청요청 20 : 수정요청 30 : 취소요청 40 : 연동완료 Linkage Result Code (commCd:I308) 10 : Application Request 20 : Modification Request 30 : Cancellation Requestn 40 : Linkage Completion
연락처 (format : XXXX-XXXX-XXXX) Contracts ,cnts,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cnts: 연락처 (format : XXXX-XXXX-XXXX) Contracts (format : XXXX-XXXX-XXXX) | cnts: 연락처 (format : XXXX-XXXX-XXXX) Contracts (format : XXXX-XXXX-XXXX) | cnts: 연락처 (format : XXXX-XXXX-XXXX) Contracts (format : XXXX-XXXX-XXXX)
연락처 Contracts,frgTelno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,frgTelno: 연락처 Contracts | frgTelno: 연락처 Contracts
연락처 국가 코드 Contracts Country Co,cntsCntryCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cntsCntryCd: 연락처 국가 코드 Contracts Country Code | cntsCntryCd: 연락처 국가 코드 Contracts Country Code
연락처 국가코드 Contracts Country Cod,cntsCntryCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cntsCntryCd: 연락처 국가코드 Contracts Country Code | cntsCntryCd: 연락처 국가코드 Contracts Country Code
우편번호 Zip Code,zipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,zipcd: 우편번호 Zip Code | zipcd: 우편번호 Zip Code | zipcd: 우편번호 Zip Code
